房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
康怡花園 E座 25樓 5室,,註冊處成交,3房,$780,596 呎,"$13,087",
富寧花園 6座 20樓 M室,,註冊處成交,2房,$415,495 呎,"$8,384",
牽晴間 10座 3樓 D室,,註冊處成交,2房,$378,384 呎,"$9,844",平台
翰林峰 2座 10樓 F室,,註冊處成交,1房,$705,366 呎,"$19,262",露台 |  | 工作平台
泓景臺 一期 2座 15樓 H室,,註冊處成交,2房,$670,441 呎,"$15,193",
富寧花園 6座 20樓 M室,,註冊處成交,2房,$415,495 呎,"$8,384",
香港仔中心 港盛閣 (F座) 10樓 4室,,註冊處成交,2房,$465,485 呎,"$9,588",
崇愛樓 15樓 F室,,註冊處成交,-,$267,380 呎,"$7,026",平台
紅磡大廈 5樓 H室,,註冊處成交,-,$316,452 呎,"$6,991",
樂怡閣 10樓 B室,,註冊處成交,3房,"$1,048",736 呎,"$14,239",
卓明大廈 1樓 20室,,註冊處成交,-,$398,501 呎,"$7,944",
港島南岸 揚海 2A座 中層 D室,,成交,3房,"$58,000",920 呎,$63,露台 |  | 工作平台
牽晴間 08座 中層 E室,,成交,2房,$400,385 呎,"$10,390",
滙都 滙都II 5座 10樓 A07室,,"註冊處成交
一手",2房,$486,442 呎,"$10,985",露台 |  | 工作平台
陽明山莊 涵碧苑 12座 6樓 71室,,註冊處成交,4房,"$5,910","2,308 呎","$25,607",露台
陽明山莊 涵碧苑 12座 20樓 71室,,註冊處成交,4房,"$5,770","2,308 呎","$25,000",露台
陽明山莊 涵碧苑 12座 21樓 69室,,註冊處成交,4房,"$6,190","2,308 呎","$26,820",露台
Coasto 9樓 D室,,"註冊處成交
一手",1房,$450,277 呎,"$16,249",露台 |  | 工作平台
日出康城 領都 - 領凱 10座 R 高層 B室,,成交,3房,"$19,500",684 呎,$29,露台 |  | 工作平台
慧景閣 高層 F室,,成交,2房,$399,422 呎,"$9,455",
錦繡花園 河北第十一街 河北 11 街 18 號,,註冊處成交,3房,$800,962 呎,"$8,316",花園 |  | 露台
康怡花園 A座 30樓 12室,,註冊處成交,3房,$908,710 呎,"$12,789",
美孚新邨 七期 萬事達廣場9號 11樓 C室,,註冊處成交,2房,$618,657 呎,"$9,406",露台
翠韻華庭 4座 7樓 F室,,註冊處成交,2房,$385,446 呎,"$8,632",天台
將軍澳廣場 1期 2座 16樓 H室,,註冊處成交,2房,$631,445 呎,"$14,180",
陽明山莊 涵碧苑 12座 15樓 71室,,註冊處成交,4房,"$5,770","2,308 呎","$25,000",露台
兆康苑 兆賢閣(Block A) 8樓 6室,,註冊處成交,3房,$292,553 呎,"$5,280",
海韻花園 1座 3樓 E室,,註冊處成交,3房,$400,716 呎,"$5,587",
東堤灣畔 2期 6座 20樓 C室,,註冊處成交,2房,$610,607 呎,"$10,049",
穗禾苑 詠昌閣(Block H) 23樓 2室,,註冊處成交,2房,$400,550 呎,"$7,273",
花都廣場 09座 低層 A室,,成交,2房,$390,392 呎,"$9,949",
維港灣 08座 低層 E室,,成交,2房,"$21,800",459 呎,$47,
港灣豪庭 一期 03 座 中層 A室,,成交,2房,"$16,300",326 呎,$50,
維景灣畔 3期 17 座 中層 C室,,成交,3房,$888,663 呎,"$13,394",
Belgravia Place Belgravia Place 第2期 2座 17樓 11室,,"註冊處成交
一手",1房,$504,299 呎,"$16,850",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 20樓 B8室,,"註冊處成交
一手",2房,$472,444 呎,"$10,637",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 35樓 A5室,,"註冊處成交
一手",2房,$514,447 呎,"$11,505",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 5樓 A7室,,"註冊處成交
一手",2房,$414,411 呎,"$10,073",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 15樓 A3室,,"註冊處成交
一手",2房,$502,410 呎,"$12,238",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 33樓 B7室,,"註冊處成交
一手",2房,$474,412 呎,"$11,501",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 45樓 A7室,,"註冊處成交
一手",2房,$495,411 呎,"$12,053",露台 |  | 工作平台
南首 5樓 A2室,,"註冊處成交
一手",2房,$541,342 呎,"$15,820",露台 |  | 工作平台
南首 20樓 A7室,,"註冊處成交
一手",1房,$497,262 呎,"$18,958",露台 |  | 工作平台
南首 7樓 A5室,,"註冊處成交
一手",1房,$430,258 呎,"$16,649",露台 |  | 工作平台
南首 9樓 A1室,,"註冊處成交
一手",2房,$630,349 呎,"$18,054",露台 |  | 工作平台
滙都 滙都I 2座 9樓 A07室,,"註冊處成交
一手",2房,$473,423 呎,"$11,192",露台 |  | 工作平台
朗天峰 1B座 15樓 A室,,"註冊處成交
一手",2房,$562,446 呎,"$12,607",露台 |  | 工作平台
朗天峰 1B座 15樓 E室,,"註冊處成交
一手",1房,$386,292 呎,"$13,204",露台 |  | 工作平台
朗天峰 1B座 2樓 G室,,"註冊處成交
一手",1房,$369,245 呎,"$15,075",平台
朗天峰 1A座 3樓 D室,,"註冊處成交
一手",1房,$338,285 呎,"$11,854",露台 |  | 工作平台
朗天峰 1B座 10樓 A室,,"註冊處成交
一手",2房,$550,446 呎,"$12,326",露台 |  | 工作平台
朗天峰 1B座 2樓 F室,,"註冊處成交
一手",2房,$505,327 呎,"$15,454",平台
朗天峰 1A座 2樓 J室,,"註冊處成交
一手",1房,$402,273 呎,"$14,717",平台
朗天峰 1B座 21樓 D室,,"註冊處成交
一手",1房,$378,308 呎,"$12,273",露台 |  | 工作平台
朗天峰 1A座 8樓 D室,,"註冊處成交
一手",1房,$346,285 呎,"$12,148",露台 |  | 工作平台
朗天峰 1B座 7樓 B室,,"註冊處成交
一手",2房,$468,395 呎,"$11,852",露台 |  | 工作平台
朗天峰 1B座 25樓 D室,,"註冊處成交
一手",1房,$390,308 呎,"$12,673",露台 |  | 工作平台
朗天峰 1A座 21樓 H室,,"註冊處成交
一手",2房,$511,403 呎,"$12,674",露台 |  | 工作平台
朗天峰 1B座 26樓 D室,,"註冊處成交
一手",1房,$394,308 呎,"$12,806",露台 |  | 工作平台
滙都 滙都I 2座 9樓 A07室,,"註冊處成交
一手",2房,$473,423 呎,"$11,192",露台 |  | 工作平台
曉柏峰 B座 15樓 B8室,,"註冊處成交
一手",1房,$428,243 呎,"$17,593",露台 |  | 工作平台
Double Coast Double Coast I 3座 20樓 J室,,"註冊處成交
一手",2房,$780,441 呎,"$17,676",露台 |  | 工作平台
黃金海灣 珀岸 2座 22樓 A室,,"註冊處成交
一手",3房,$767,651 呎,"$11,776",露台 |  | 工作平台
黃金海灣 意嵐 5B座 11樓 N室,,"註冊處成交
一手",1房,$306,316 呎,"$9,671",露台 |  | 工作平台
黃金海灣 意嵐 3座 17樓 M室,,"註冊處成交
一手",開放式,$306,306 呎,"$9,987",露台 |  | 工作平台
建益大樓 6樓 D室,,註冊處成交,-,$330,377 呎,"$8,753",
祥景樓 3樓 B室,,註冊處成交,-,$457,375 呎,"$12,187",平台
碧海閣 2樓 B室,,註冊處成交,-,"$1,900","1,307 呎","$14,537",車位
安順大廈 6樓 1室,,註冊處成交,-,$239,253 呎,"$9,447",
安樂樓 4樓 B室,,註冊處成交,-,$300,425 呎,"$7,059",
福昌樓 2樓 A室,,註冊處成交,-,$231,360 呎,"$6,417",
國寶樓 2樓 A室,,註冊處成交,-,$210,406 呎,"$5,172",
先施大廈 3樓 5室,,註冊處成交,-,$330,772 呎,"$4,275",
廣富大廈 11樓 L室,,註冊處成交,-,$240,338 呎,"$7,101",
天寰 天海匯1座 高層 A室,,成交,4房,"$2,728","1,190 呎","$22,924",露台 |  | 工作平台
城市花園 2期 10座 中層 B室,,成交,3房,"$38,000",963 呎,$39,
逸濤灣 冬和軒 高層 E室,,成交,3房,"$1,415",766 呎,"$18,473",
日出康城 Malibu 3A座 低層 A室,,成交,3房,"$27,000",752 呎,$36,露台 |  | 工作平台
泓都 2座 低層 E室,,成交,2房,$760,482 呎,"$15,768",露台
尚御 2座 低層 B室,,成交,3房,"$41,000",988 呎,$41,車位 |  | 露台 |  | 工作平台
彩興苑 B座 21樓 4室,,註冊處成交,1房,$328,385 呎,"$8,519",
儉德大廈 7樓 F室,,註冊處成交,2房,$380,603 呎,"$6,302",
淺月灣 一期 9 號屋,,註冊處成交,5房,"$3,000","3,010 呎","$9,967",花園 |  | 天台 |  | 平台
龍蟠苑 C座 22樓 16室,,註冊處成交,1房,$372,353 呎,"$10,538",露台
美孚新邨 一期 百老匯街23號 5樓 G室,,註冊處成交,1房,$450,464 呎,"$9,698",
煜明苑 B座(焜明閣) 10樓 11室,,註冊處成交,1房,$450,610 呎,"$7,377",
海怡半島 4期(御庭園) 26座 11樓 E室,,註冊處成交,3房,$920,736 呎,"$12,500",
日出康城 晉海 第1座 (1B) 42樓 A室,,註冊處成交,3房,$910,701 呎,"$12,981",露台 |  | 工作平台
溱林 1座 3樓 D室,,註冊處成交,3房,$800,790 呎,"$10,127",車位 |  | 天台 |  | 露台 |  | 工作平台
荃錦中心 2座 12樓 H室,,註冊處成交,2房,$400,375 呎,"$10,667",
筲箕灣廣場 1座 ( 麗文苑 ) 11樓 C室,,註冊處成交,2房,$378,344 呎,"$10,988",
龍譽 2B座 21樓 F室,,註冊處成交,3房,"$1,550",864 呎,"$17,940",露台 |  | 工作平台
慧雲峯 22樓 G室,,註冊處成交,3房,"$1,600",932 呎,"$17,167",露台 |  | 工作平台
寶盈花園 第5座 36樓 C室,,註冊處成交,2房,$515,484 呎,"$10,640",
顯徑邨 顯運樓 31樓 14室,,註冊處成交,-,$385,376 呎,"$10,239",
豪苑 A座 16樓 B室,,註冊處成交,1房,$305,333 呎,"$9,159",
朗屏邨 悅屏樓 (8座) 21樓 38室,,"註冊處成交
一手",開放式,$44.05,-,-,露台
屯門市廣場 3期 8座 5樓 A室,,註冊處成交,2房,$321,392 呎,"$8,189",
嘉峯匯 1A座 7樓 A室,,註冊處成交,開放式,$540,293 呎,"$18,430",露台
清水灣半島 2期 6座 36樓 F室,,註冊處成交,2房,$548,523 呎,"$10,478",
黃大仙下邨(一區) 龍豐樓 (2座) 34樓 20室,,註冊處成交,開放式,$173,385 呎,"$4,494",露台
別樹華軒 29樓 D室,,註冊處成交,1房,$446,267 呎,"$16,704",
翠豐臺 2座 7樓 H室,,註冊處成交,2房,$484,435 呎,"$11,122",
美孚新邨 五期 蘭秀街6號 14樓 B室,,註冊處成交,2房,$650,612 呎,"$10,621",露台
宇晴軒 二期 7座 25樓 G室,,註冊處成交,2房,$630,449 呎,"$14,031",
維港灣 5座 17樓 F室,,註冊處成交,2房,$375,457 呎,"$8,206",
麗虹花園 1座 1樓 E室,,註冊處成交,3房,$400,443 呎,"$9,029",平台
御半山 1期 1A座 17樓 J室,,註冊處成交,2房,$500,454 呎,"$11,013",露台 |  | 工作平台
滙都 滙都II 5座 5樓 B03室,,"註冊處成交
一手",1房,$357,338 呎,"$10,563",露台 |  | 工作平台
Coasto 11樓 C室,,"註冊處成交
一手",1房,$431,247 呎,"$17,445",露台 |  | 工作平台
盈峰一號 中層 A室,,成交,3房,"$35,000",750 呎,$47,露台 |  | 工作平台
屯門市廣場 1期 3座 中層 E室,,成交,2房,"$13,000",392 呎,$33,
比華利山別墅 翠樺道 三門仔路23號〈獨立屋〉,,成交,5房,"$53,000","2,671 呎",$20,車位 |  | 花園
南首 22樓 B2室,,"註冊處成交
一手",2房,$715,342 呎,"$20,902",露台 |  | 工作平台
南首 8樓 B2室,,"註冊處成交
一手",2房,$593,342 呎,"$17,345",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 10樓 7室,,"註冊處成交
一手",1房,$448,262 呎,"$17,111",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 28樓 10室,,"註冊處成交
一手",2房,$644,363 呎,"$17,736",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 8樓 9室,,"註冊處成交
一手",2房,$557,353 呎,"$15,779",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 5樓 11室,,"註冊處成交
一手",1房,$486,299 呎,"$16,263",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 6樓 9室,,"註冊處成交
一手",2房,$545,353 呎,"$15,433",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 3樓 A6室,,"註冊處成交
一手",1房,$336,281 呎,"$11,971",平台
Yoho West Yoho West Parkside 1A座 5樓 A2室,,"註冊處成交
一手",3房,$584,521 呎,"$11,202",露台 |  | 工作平台
柏蔚森 柏蔚森 II 3座 6樓 N室,,"註冊處成交
一手",2房,$655,383 呎,"$17,089",露台 |  | 工作平台
朗天峰 1A座 5樓 D室,,"註冊處成交
一手",1房,$341,285 呎,"$11,972",露台 |  | 工作平台
緹岸 1期 2座 21樓 A室,,"註冊處成交
一手",3房,$830,798 呎,"$10,401",露台 |  | 工作平台
黃金海灣 意嵐 5B座 9樓 N室,,"註冊處成交
一手",1房,$289,316 呎,"$9,139",露台 |  | 工作平台
港島南岸 海盈山4A期 2B座 35樓 D室,,"註冊處成交
一手",2房,"$1,186",535 呎,"$22,161",露台 |  | 工作平台
黃金海灣 珀岸 1B座 18樓 H室,,"註冊處成交
一手",2房,$497,441 呎,"$11,279",露台 |  | 工作平台
顯徑邨 顯慶樓 11樓 9室,,註冊處成交,-,$305,381 呎,"$8,005",
長安邨 3座 (安江樓) 26樓 1室,,註冊處成交,開放式,$338,381 呎,"$8,871",露台
美善同道82-86號 5樓 82室,,註冊處成交,-,$483,554 呎,"$8,718",天台
嘉寶大廈 22樓 C室,,註冊處成交,-,$280,377 呎,"$7,427",天台
藍澄灣 3座 中層 A室,,成交,2房,"$14,300",451 呎,$32,
凱旋門 2座 (觀星閣) 高層 C室,,成交,4房,"$68,800","1,098 呎",$63,露台
博康邨 6座 (博逸樓) 26樓 10室,,"註冊處成交
一手",開放式,$43.59,-,-,露台
景新臺 2座 22樓 C室,,註冊處成交,2房,$420,476 呎,"$8,824",
維景灣畔 2期 9 座 47樓 E室,,註冊處成交,2房,$720,498 呎,"$14,458",
富榮花園 5座 2樓 D室,,註冊處成交,3房,$568,592 呎,"$9,595",
瑞安閣 19樓,,註冊處成交,-,$360,290 呎,"$12,414",
百勝大廈 13樓 G室,,註冊處成交,2房,$345,326 呎,"$10,583",
蝶翠峰 二期 16座 2樓 G室,,註冊處成交,3房,$538,776 呎,"$6,933",
海濱花園 15座 (海蕙閣) 11樓 C室,,註冊處成交,3房,$460,559 呎,"$8,229",
比華利山別墅 翠樺道 95號屋,,註冊處成交,5房,"$2,500","2,667 呎","$9,374",花園 |  | 天台
愉景新城 1期 4座 26樓 A室,,註冊處成交,3房,$755,675 呎,"$11,185",
馬鞍山中心 4座 27樓 D室,,註冊處成交,3房,$665,634 呎,"$10,489",
利基大廈 D座 14樓 6室,,註冊處成交,-,$403,433 呎,"$9,307",
藍澄灣 6座 20樓 C室,,註冊處成交,2房,$468,488 呎,"$9,590",
愉景新城 1期 4座 20樓 F室,,註冊處成交,3房,$739,653 呎,"$11,317",
愉景灣 4期(蘅峰)蘅安徑 蘅峰3座 (彩暉閣) 7樓 A室,,註冊處成交,3房,$470,755 呎,"$6,225",
黃埔花園 二期 17座 14樓 H室,,註冊處成交,2房,$588,466 呎,"$12,618",
黃埔新邨 安富樓(T座) 13樓 7室,,註冊處成交,2房,$390,323 呎,"$12,074",
悅湖山莊 4座 13樓 K室,,註冊處成交,2房,$345,431 呎,"$8,005",
深灣軒 3座 43樓 F室,,註冊處成交,2房,$756,511 呎,"$14,795",露台
綠楊新邨 K座 3樓 5室,,註冊處成交,3房,$565,582 呎,"$9,708",
高宏苑 B座 19樓 21室,,"註冊處成交
一手",-,$242,453 呎,"$5,334",
美孚新邨 二期 吉利徑15號 13樓 B室,,註冊處成交,2房,$610,638 呎,"$9,561",露台
龍華花園 1座 13樓 F室,,註冊處成交,3房,$750,694 呎,"$10,807",天台
新都城 一期 2座 9樓 A室,,註冊處成交,2房,$530,420 呎,"$12,619",
美寧中心 C座 12樓 C6室,,註冊處成交,1房,$250,226 呎,"$11,062",
景明苑 曦景閣 ( A座 ) 9樓 8室,,註冊處成交,2房,$300,401 呎,"$7,481",露台
御半山 2期 2A座 高層 J室,,成交,開放式,"$10,800",251 呎,$43,露台
龍蟠苑 D座 34樓 11室,,註冊處成交,2房,$440,426 呎,"$10,329",露台
栢蕙苑 康柏閣 24樓 C室,,註冊處成交,2房,$683,545 呎,"$12,528",天台
健康邨 1期 康宏閣( 4座 ) 5樓 F室,,註冊處成交,3房,$538,592 呎,"$9,088",
東堤灣畔 1期 2座 5樓 E室,,註冊處成交,2房,$558,581 呎,"$9,604",
新時代廣場 1期 2座 中層 B室,,成交,2房,"$15,000",393 呎,$38,
順豐大廈 9樓 D室,,註冊處成交,1房,$290,248 呎,"$11,694",
名城 2期(盛薈) 3座 41樓 ND室,,註冊處成交,3房,"$1,050",678 呎,"$15,487",露台 |  | 工作平台
得發大廈 25樓 D室,,註冊處成交,2房,$400,265 呎,"$15,094",
富景花園 7座 5樓 D室,,註冊處成交,3房,$500,587 呎,"$8,518",
均益大廈 三期 A 座 17樓 A3室,,註冊處成交,-,$400,374 呎,"$10,695",
麗城花園 二期 8座 高層 G室,,成交,3房,"$16,000",572 呎,$28,
又一居 27座 中層 B室,,成交,3房,"$30,000",674 呎,$45,
新成中心 C座 10樓 C4室,,註冊處成交,2房,$316,367 呎,"$8,610",
龍蟠苑 C座 32樓 14室,,註冊處成交,2房,$368,426 呎,"$8,638",露台
泓碧 3座 1樓 K室,,註冊處成交,2房,$640,518 呎,"$12,355",露台 |  | 工作平台
One Stanley 5座 G樓 B室,,"註冊處成交
一手",2房,"$2,450",834 呎,"$29,376",花園
Midtown South The Haddon 12樓 K室,,"註冊處成交
一手",1房,$486,262 呎,"$18,534",露台 |  | 工作平台
VAU Residence 22樓 D室,,"註冊處成交
一手",開放式,$456,210 呎,"$21,719",露台
Coasto 15樓 E室,,"註冊處成交
一手",1房,$441,253 呎,"$17,435",露台 |  | 工作平台
Coasto 12樓 C室,,"註冊處成交
一手",1房,$436,247 呎,"$17,648",露台 |  | 工作平台
Coasto 9樓 A室,,"註冊處成交
一手",2房,$716,371 呎,"$19,299",露台 |  | 工作平台
星凱．堤岸 2座 37樓 C室,,"註冊處成交
一手",3房,"$1,684",849 呎,"$19,837",露台 |  | 工作平台
時代廣場 A座 高層 1室,,成交,2房,"$12,680",409 呎,$31,
御花園 2座 中層 B室,,成交,-,"$56,000","1,094 呎",$51,車位
香港仔中心 P座 (美光閣) 中層 6室,,成交,3房,"$18,500",590 呎,$31,
青怡花園 5座 4樓 B室,,註冊處成交,2房,$420,343 呎,"$12,245",
Yoho West Yoho West Parkside 1A座 6樓 A1室,,"註冊處成交
一手",3房,$778,679 呎,"$11,454",露台 |  | 工作平台
南首 7樓 A8室,,"註冊處成交
一手",1房,$461,262 呎,"$17,594",露台 |  | 工作平台
南首 18樓 A3室,,"註冊處成交
一手",1房,$500,263 呎,"$18,998",露台 |  | 工作平台
南首 11樓 A3室,,"註冊處成交
一手",1房,$466,263 呎,"$17,704",露台 |  | 工作平台
南首 8樓 B5室,,"註冊處成交
一手",1房,$446,263 呎,"$16,976",露台 |  | 工作平台
朗天峰 1A座 16樓 D室,,"註冊處成交
一手",1房,$366,285 呎,"$12,838",露台 |  | 工作平台
朗天峰 1A座 16樓 B室,,"註冊處成交
一手",2房,$577,429 呎,"$13,445",露台 |  | 工作平台
朗天峰 1A座 5樓 B室,,"註冊處成交
一手",2房,$535,429 呎,"$12,470",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2A座 8樓 J室,,"註冊處成交
一手",1房,$521,305 呎,"$17,089",露台 |  | 工作平台
Belgravia Place Belgravia Place 第1期 1A座 18樓 5室,,"註冊處成交
一手",1房,$458,268 呎,"$17,101",露台 |  | 工作平台
銀禧花園 5座 19樓 C室,,註冊處成交,2房,$523,498 呎,"$10,502",
兆山苑 C座 (柏景閣) 18樓 3室,,註冊處成交,2房,$330,546 呎,"$6,044",露台
康樂園 第20街 20 街 24 號,,註冊處成交,3房,"$1,738","1,237 呎","$14,050",花園 |  | 露台
海茵莊園 2座 低層 D5室,,成交,1房,"$13,800",283 呎,$49,露台
雅濤閣 第三座 低層 G室,,成交,3房,$577,576 呎,"$10,017",
匯璽 3期(匯璽II) 5B座 中層 J室,,成交,1房,"$20,000",346 呎,$58,露台
寶翠園 2期 6座 中層 B室,,成交,2房,"$39,000",767 呎,$51,
One Innovale Cabanna 第3期 E座 中層 20室,,成交,1房,"$12,000",295 呎,$41,露台 |  | 工作平台
山林道34-36號 9樓 34室,,註冊處成交,-,$768,732 呎,"$10,492",
安秀苑 A座 7樓 21室,,"註冊處成交
一手",-,$259,396 呎,"$6,534",
寶峰閣 18樓,,註冊處成交,-,$830,753 呎,"$11,023",
寶峰閣 4樓,,註冊處成交,-,$898,753 呎,"$11,926",車位
昌耀大廈 5樓 B室,,註冊處成交,-,$250,311 呎,"$8,039",
溱喬 99號屋,,註冊處成交,3房,"$1,700","1,232 呎","$13,799",車位 |  | 花園 |  | 天台 |  | 平台 |  | 露台
駿豪閣 8樓 C室,,註冊處成交,3房,"$1,205",802 呎,"$15,025",
翠華閣 8樓 A室,,註冊處成交,-,$273,211 呎,"$12,929",
綠楊新邨 Q座 11樓 6室,,註冊處成交,2房,$477,445 呎,"$10,719",
荃錦中心 1座 21樓 F室,,註冊處成交,2房,$450,375 呎,"$12,000",
滿名山 滿庭 6座 (滿庭) 中層 G室,,成交,1房,"$13,200",384 呎,$34,露台
河畔花園 F座 28樓 3室,,註冊處成交,2房,$343,242 呎,"$14,174",
新時代廣場 1期 6座 16樓 E室,,註冊處成交,2房,$564,434 呎,"$13,002",
喜點 17樓 F室,,註冊處成交,開放式,$344,255 呎,"$13,482",露台
太古城 海景花園(西) 金楓閣 3樓 H室,,註冊處成交,-,"$1,460","1,114 呎","$13,106",
高宏苑 A座 14樓 13室,,"註冊處成交
一手",-,$233,447 呎,"$5,223",
健康邨 1期 康宏閣( 4座 ) 19樓 A室,,註冊處成交,2房,$430,476 呎,"$9,034",
新都城 一期 3座 4樓 C室,,註冊處成交,2房,$486,364 呎,"$13,352",
慧安園 2座 高層 H室,,成交,2房,"$15,500",413 呎,$38,
貝沙灣 第一期 6座 12樓 B室,,註冊處成交,3房,"$2,200","1,190 呎","$18,487",露台 |  | 工作平台
盈翠半島 2期 10座 中層 G室,,成交,3房,"$26,000",666 呎,$39,
太古城 安盛台 寧安閣 3樓 G室,,註冊處成交,2房,$680,530 呎,"$12,830",平台
嘉匯 第1座 高層 A室,,成交,2房,"$25,500",507 呎,$50,露台
盈豐園 2座 16樓 D室,,註冊處成交,3房,$399,513 呎,"$7,778",
Midtown South The Haddon 25樓 D室,,"註冊處成交
一手",2房,$828,411 呎,"$20,155",露台 |  | 工作平台
瓏珀山 1期 Queen Tower 1 11樓 C室,,"註冊處成交
一手",3房,"$2,046","1,218 呎","$16,801",車位 |  | 露台 |  | 工作平台
Wetland Seasons Bay 1期 2A座 2樓 A8室,,註冊處成交,3房,$626,539 呎,"$11,614",露台 |  | 工作平台
Coasto 6樓 D室,,"註冊處成交
一手",1房,$441,277 呎,"$15,924",露台 |  | 工作平台
麗晶花園 04座 中層 C室,,成交,2房,"$14,500",407 呎,$36,
曉峯閣 4座 高層 B室,,成交,2房,"$38,500",761 呎,$51,
德福花園 B座 高層 8室,,成交,2房,"$18,500",556 呎,$33,
荃灣中心 天津樓(8座) 低層 B室,,成交,3房,$350,460 呎,"$7,609",
盈翠半島 1期 03座 中層 E室,,成交,3房,"$26,000",676 呎,$38,
紀園 A座 中層 A5室,,成交,-,"$3,700","1,790 呎","$20,670",車位
Belgravia Place Belgravia Place 第2期 2座 18樓 9室,,"註冊處成交
一手",2房,$570,352 呎,"$16,187",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 16樓 8室,,"註冊處成交
一手",2房,$556,350 呎,"$15,884",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 7樓 9室,,"註冊處成交
一手",2房,$547,353 呎,"$15,507",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 33樓 B8室,,"註冊處成交
一手",2房,$484,444 呎,"$10,907",露台 |  | 工作平台
南首 10樓 B8室,,"註冊處成交
一手",1房,$462,262 呎,"$17,641",露台 |  | 工作平台
南首 8樓 A5室,,"註冊處成交
一手",1房,$437,258 呎,"$16,920",露台 |  | 工作平台
南首 11樓 B6室,,"註冊處成交
一手",1房,$460,258 呎,"$17,843",露台 |  | 工作平台
南首 21樓 B2室,,"註冊處成交
一手",2房,$700,342 呎,"$20,458",露台 |  | 工作平台
南首 12樓 B1室,,"註冊處成交
一手",2房,$661,351 呎,"$18,846",露台 |  | 工作平台
南首 17樓 B3室,,"註冊處成交
一手",1房,$500,263 呎,"$19,030",露台 |  | 工作平台
皇都 15樓 A6室,,"註冊處成交
一手",2房,$839,442 呎,"$18,975",露台 |  | 工作平台
朗天峰 1A座 3樓 B室,,"註冊處成交
一手",2房,$531,429 呎,"$12,373",露台 |  | 工作平台
日出康城 Park Seasons 2A座 31樓 G室,,"註冊處成交
一手",1房,$483,325 呎,"$14,849",露台 |  | 工作平台
黃金海灣 意嵐 3座 25樓 M室,,"註冊處成交
一手",開放式,$311,306 呎,"$10,157",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2A座 6樓 J室,,"註冊處成交
一手",1房,$516,305 呎,"$16,925",露台 |  | 工作平台
家樂樓 1樓 88室,,註冊處成交,-,$494,541 呎,"$9,131",
新填地街600-602號 2樓 600室,,註冊處成交,-,$380,511 呎,"$7,436",
旺角城大廈 11樓 C室,,註冊處成交,-,$428,394 呎,"$10,863",
日出康城 Ocean Marini 1B座 低層 E室,,成交,2房,"$19,500",459 呎,$42,平台
浪澄灣 3座 中層 D室,,成交,2房,$835,546 呎,"$15,293",
豪景花園 三期 20座 高層 D室,,成交,3房,"$20,000",947 呎,$21,車位
東環 2期 2A座 中層 01室,,成交,3房,"$24,000",640 呎,$38,露台
富康花園 2座 10樓 D室,,註冊處成交,3房,$570,592 呎,"$9,628",
軒尼詩道117-123號 9樓 D室,,註冊處成交,-,$320,366 呎,"$8,743",
盈翠半島 2期 9座 29樓 F室,,註冊處成交,2房,$740,523 呎,"$14,149",
新港城 1期 A座 4樓 1室,,註冊處成交,3房,$585,568 呎,"$10,299",
珀麗灣 1期 17座 11樓 A室,,註冊處成交,1房,$400,366 呎,"$10,929",
淘大花園 1期 C座 14樓 4室,,註冊處成交,2房,$398,375 呎,"$10,613",
都會駅 一期(都會駅) 5座 47樓 D室,,註冊處成交,3房,$855,642 呎,"$13,318",平台 |  | 露台
珀麗灣 5期 30座 28樓 G室,,註冊處成交,2房,$540,518 呎,"$10,425",
南首 10樓 B8室,,"註冊處成交
一手",1房,$462,262 呎,"$17,641",露台 |  | 工作平台
南首 8樓 A5室,,"註冊處成交
一手",1房,$437,258 呎,"$16,920",露台 |  | 工作平台
南首 11樓 B6室,,"註冊處成交
一手",1房,$460,258 呎,"$17,843",露台 |  | 工作平台
南首 21樓 B2室,,"註冊處成交
一手",2房,$700,342 呎,"$20,458",露台 |  | 工作平台
南首 12樓 B1室,,"註冊處成交
一手",2房,$661,351 呎,"$18,846",露台 |  | 工作平台
南首 17樓 B3室,,"註冊處成交
一手",1房,$500,263 呎,"$19,030",露台 |  | 工作平台
皇都 15樓 A6室,,"註冊處成交
一手",2房,$839,442 呎,"$18,975",露台 |  | 工作平台
朗天峰 1A座 3樓 B室,,"註冊處成交
一手",2房,$531,429 呎,"$12,373",露台 |  | 工作平台
